tweet_id,conversation_id,created_at,text,weak_intent,weak_label_confidence,human_intent,human_notes,is_ambiguous,needs_context
105047,amazonhelp_105047,2017-11-30 18:07:04+00:00,Good to know that paying for Amazon Prime doesn’t mean shit when paying $200. It’s been a week since I ordered and no one can tell me where my package is. Maybe they should stop using UPS because I’ve never not had problems with them. #amazonprime #whataloadofshit,DELIVERY_DELAY,medium,DELIVERY_DELAY,,False,False
109900,amazonhelp_109900,2017-11-23 18:13:46+00:00,Est ce que quelqu'un sait si le black friday @120533 a déjà commencé ou si ca commence vraiment demain ? #BlackFriday,CONTEXT_NEEDED,low,CONTEXT_NEEDED,,False,False
110017,amazonhelp_110017,2017-11-23 19:41:55+00:00,@115850 @AmazonHelp Want to urge you to enable Kannada fonts &amp; language and publishing of Kannada ebooks on all kindle versions !,DIGITAL_TECHNICAL,medium,DIGITAL_TECHNICAL,,False,False
111898,amazonhelp_111898,2017-11-23 20:17:46+00:00,I pay for @115830 Prime Why is the one day delivery telling me it will be 5 days?,DELIVERY_DELAY,medium,DELIVERY_DELAY,,False,False
111926,amazonhelp_111926,2017-11-23 20:17:52+00:00,"- Mit Hawaiihemd auf iPad Amazon Fresh bestellen
- füße auf Schreibtisch, wippend https://t.co/eR2xsSTN3v
- ""sexy Beach-Traum""
- DingDong",CONTEXT_NEEDED,low,CONTEXT_NEEDED,,False,False
111966,amazonhelp_111966,2017-11-23 18:37:22+00:00,And once again @115830 fails to fulfil “guaranteed”  delivery dates and “next day delivery” Questioning the point of prime now!,DELIVERY_DELAY,medium,DELIVERY_DELAY,,False,False
118828,amazonhelp_118828,2017-11-23 22:16:51+00:00,Why does @116090  even bother offering two day shipping when they send it regular mail via @132668 .  It never arrives in that time frame.,DELIVERY_DELAY,medium,DELIVERY_DELAY,,False,False
121089,amazonhelp_121089,2017-11-23 23:18:49+00:00,Hi @116316 it's been 5 days now since I placed my order and still hasn't been dispatched. The product went in and out of stock couple of times and your support is of no help unfortunately. Care to assist?,PRODUCT_SELLER_ISSUE,high,ORDER_MANAGEMENT,,False,False
121987,amazonhelp_121987,2017-11-23 23:56:25+00:00,@AmazonHelp Dommage que vous ne les vendez que par pack de 4 :/ https://t.co/WYSJiuWo2N #Amazon,CONTEXT_NEEDED,low,CONTEXT_NEEDED,,False,False
122786,amazonhelp_122786,2017-11-24 00:14:09+00:00,"Já fiz minhas compras hoje, alguém tira o site da @117086 da minha internet!",CONTEXT_NEEDED,low,CONTEXT_NEEDED,,False,False
123376,amazonhelp_123376,2017-11-24 01:00:30+00:00,oi @117086 será que rola um descontão nos livros de história da matemática da @6975  nessa Black Friday? s2,CONTEXT_NEEDED,low,CONTEXT_NEEDED,,False,False
123993,amazonhelp_123993,2017-11-24 01:38:49+00:00,"@116875 hice mi pedido el lunes, es con entrega de día siguiente, pero hasta ahorita es hora que no llega y lo necesito para mañana viernes!!! Llamo y solo me dicen que ya está en ruta para entrega, hagan algo por favor!!! 😠",CONTEXT_NEEDED,low,DELIVERY_DELAY,,False,False
124104,amazonhelp_124104,2017-11-24 01:07:08+00:00,@117086 oi anazon há uns três meses comprei uns livros físicos de vcs agora comprei um kindler qro saber se terei acesso a eles como ebook ou tem q comprar d novo?,CONTEXT_NEEDED,low,DIGITAL_TECHNICAL,,False,False
133916,amazonhelp_133916,2017-11-24 08:10:35+00:00,Merci beaucoup @2600 pour m'avoir bloqué mon compte sans mon accord juste parce que j'ai passé une commande d'un autre ordinateur... Un peu d'aide please @AmazonHelp ?,CONTEXT_NEEDED,low,ACCOUNT_ACCESS_SECURITY,,False,False
134816,amazonhelp_134816,2017-11-18 16:32:30+00:00,@AmazonHelp Do you think it’s appropriate for your delivery men to leave these items at a door when no one is home free for anyone to take! Total disgrace and terrible service. https://t.co/UoSIx11lZp,DELIVERY_DELAY,medium,DELIVERY_PROOF_FAILURE,,False,False
134840,amazonhelp_134840,2017-11-21 18:44:17+00:00,Bereitet sich @116316 auf die Weihnachtszeit vor? https://t.co/Goj9Ur2Zgl,CONTEXT_NEEDED,low,CONTEXT_NEEDED,,False,False
136873,amazonhelp_136873,2017-11-24 09:54:06+00:00,@115830 5 failed deliveries for a simple order. Have called call centre 5 times with instructions but these do not get passed on. Please get someone from UK call centre to ring me today if not will cancel my account.,ORDER_MANAGEMENT,high,SUPPORT_ESCALATION,,False,False
136886,amazonhelp_136886,2017-11-24 09:49:49+00:00,"@AmazonHelp @115830 Hello, I have not received a delivery even though it states it has been delivered! Please help!",DELIVERY_DELAY,medium,DELIVERY_PROOF_FAILURE,,False,False
137096,amazonhelp_137096,2017-11-24 09:33:54+00:00,@115850 haven't got my refund for order ending 1510 @146917 called customer care but of no use refund pending 15 days + . @118702 kudos to ur service,RETURN_REFUND_REPLACEMENT,high,RETURN_REFUND_REPLACEMENT,,False,False
138224,amazonhelp_138224,2017-11-24 10:14:16+00:00,"Asper my return pickup reqst,tday a delivery boy had come,named sukanta chakraborty,Howrah,no 8777725180.He misbehaved n threatened me.Also Pretended like he was d customer n i was d service provider.Very upset.lodged a complaint.Hope @115850  ll take proper action agst him.",RETURN_REFUND_REPLACEMENT,high,RETURN_REFUND_REPLACEMENT,,False,False
