tweet_id,conversation_id,text,human_intent,predicted_intent,confidence,decision,decision_reason,best_similarity,evidence_found,agent_reply
105047,amazonhelp_105047,Good to know that paying for Amazon Prime doesn’t mean shit when paying $200. It’s been a week since I ordered and no one can tell me where my package is. Maybe they should stop using UPS because I’ve never not had problems with them. #amazonprime #whataloadofshit,DELIVERY_DELAY,PRIME_MEMBERSHIP,0.99,ESCALATE,Historical evidence is weak (best similarity: 0.19).,0.1942022149649319,True,Sorry about the trouble with your Prime membership or benefits. Please check your membership details. A support representative should review the case and help with the appropriate next step.
109900,amazonhelp_109900,Est ce que quelqu'un sait si le black friday @120533 a déjà commencé ou si ca commence vraiment demain ? #BlackFriday,CONTEXT_NEEDED,CONTEXT_NEEDED,0.7015802456239835,ESCALATE,The customer message does not contain enough information to identify the issue.,0.4032725747961955,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
110017,amazonhelp_110017,@115850 @AmazonHelp Want to urge you to enable Kannada fonts &amp; language and publishing of Kannada ebooks on all kindle versions !,DIGITAL_TECHNICAL,DIGITAL_TECHNICAL,0.99,ESCALATE,Historical evidence is weak (best similarity: 0.20).,0.19647518048347815,True,"Sorry you're having trouble with the digital service. Please check the device or application settings and try the relevant troubleshooting steps. If the issue continues, a support representative should investigate it."
111898,amazonhelp_111898,I pay for @115830 Prime Why is the one day delivery telling me it will be 5 days?,DELIVERY_DELAY,DELIVERY_DELAY,0.99,AUTO-HANDLE,Intent confidence is 0.99 and the strongest historical case has 0.30 similarity.,0.29674376959857146,True,"Sorry that your delivery is taking longer than expected. Please check the latest tracking information for the order. If the promised delivery date has passed, support can review the delivery status and available options."
111926,amazonhelp_111926,"- Mit Hawaiihemd auf iPad Amazon Fresh bestellen
- füße auf Schreibtisch, wippend https://t.co/eR2xsSTN3v
- ""sexy Beach-Traum""
- DingDong",CONTEXT_NEEDED,CONTEXT_NEEDED,0.4514830718002739,ESCALATE,The customer message does not contain enough information to identify the issue.,0.28583372448133015,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
111966,amazonhelp_111966,And once again @115830 fails to fulfil “guaranteed”  delivery dates and “next day delivery” Questioning the point of prime now!,DELIVERY_DELAY,DELIVERY_DELAY,0.99,AUTO-HANDLE,Intent confidence is 0.99 and the strongest historical case has 0.25 similarity.,0.24623644378334625,True,"Sorry that your delivery is taking longer than expected. Please check the latest tracking information for the order. If the promised delivery date has passed, support can review the delivery status and available options."
118828,amazonhelp_118828,Why does @116090  even bother offering two day shipping when they send it regular mail via @132668 .  It never arrives in that time frame.,DELIVERY_DELAY,DELIVERY_DELAY,0.6443667151118952,ESCALATE,Historical evidence is weak (best similarity: 0.19).,0.18819316526213542,True,"Sorry that your delivery is delayed. Please check the latest tracking information and the promised delivery date. Since the delivery is overdue, a support representative should review the order and available options."
121089,amazonhelp_121089,Hi @116316 it's been 5 days now since I placed my order and still hasn't been dispatched. The product went in and out of stock couple of times and your support is of no help unfortunately. Care to assist?,ORDER_MANAGEMENT,SUPPORT_ESCALATION,0.99,ESCALATE,"The customer is already reporting unsuccessful support interactions, so human review is appropriate.",0.29601767599689327,True,"I'm sorry you've had trouble getting this resolved. Since previous support interactions have not resolved the issue, a support representative should review the case and provide the appropriate next step."
121987,amazonhelp_121987,@AmazonHelp Dommage que vous ne les vendez que par pack de 4 :/ https://t.co/WYSJiuWo2N #Amazon,CONTEXT_NEEDED,CONTEXT_NEEDED,0.775333824296249,ESCALATE,The customer message does not contain enough information to identify the issue.,0.2633414372295615,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
122786,amazonhelp_122786,"Já fiz minhas compras hoje, alguém tira o site da @117086 da minha internet!",CONTEXT_NEEDED,CONTEXT_NEEDED,0.6716777311770692,ESCALATE,The customer message does not contain enough information to identify the issue.,0.32467826787736503,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
123376,amazonhelp_123376,oi @117086 será que rola um descontão nos livros de história da matemática da @6975  nessa Black Friday? s2,CONTEXT_NEEDED,CONTEXT_NEEDED,0.7620548909944975,ESCALATE,The customer message does not contain enough information to identify the issue.,0.41549575544898837,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
123993,amazonhelp_123993,"@116875 hice mi pedido el lunes, es con entrega de día siguiente, pero hasta ahorita es hora que no llega y lo necesito para mañana viernes!!! Llamo y solo me dicen que ya está en ruta para entrega, hagan algo por favor!!! 😠",DELIVERY_DELAY,CONTEXT_NEEDED,0.7152273108815708,ESCALATE,The customer message does not contain enough information to identify the issue.,0.2946027841264431,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
124104,amazonhelp_124104,@117086 oi anazon há uns três meses comprei uns livros físicos de vcs agora comprei um kindler qro saber se terei acesso a eles como ebook ou tem q comprar d novo?,DIGITAL_TECHNICAL,DIGITAL_TECHNICAL,0.99,AUTO-HANDLE,Intent confidence is 0.99 and the strongest historical case has 0.31 similarity.,0.3103475658614795,True,"Sorry you're having trouble with the digital service. Please check the device or application settings and try the relevant troubleshooting steps. If the problem continues, support can investigate further."
133916,amazonhelp_133916,Merci beaucoup @2600 pour m'avoir bloqué mon compte sans mon accord juste parce que j'ai passé une commande d'un autre ordinateur... Un peu d'aide please @AmazonHelp ?,ACCOUNT_ACCESS_SECURITY,CONTEXT_NEEDED,0.5165928134683468,ESCALATE,The customer message does not contain enough information to identify the issue.,0.2676549480543794,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
134816,amazonhelp_134816,@AmazonHelp Do you think it’s appropriate for your delivery men to leave these items at a door when no one is home free for anyone to take! Total disgrace and terrible service. https://t.co/UoSIx11lZp,DELIVERY_PROOF_FAILURE,DELIVERY_DELAY,0.47664908731066014,ESCALATE,Intent confidence is too low (0.48).,0.1929182549900345,True,"Sorry that your delivery is delayed. Please check the latest tracking information and the promised delivery date. Since the delivery is overdue, a support representative should review the order and available options."
134840,amazonhelp_134840,Bereitet sich @116316 auf die Weihnachtszeit vor? https://t.co/Goj9Ur2Zgl,CONTEXT_NEEDED,CONTEXT_NEEDED,0.5659524036954474,ESCALATE,The customer message does not contain enough information to identify the issue.,0.30568967733905494,True,Thanks for reaching out. There isn't enough information in the message to confidently determine the issue. A support representative should review the case and assist.
