tweet_id,text,human_intent,predicted_intent,decision,agent_reply,best_similarity,human_reply_quality,human_grounding,human_helpfulness,human_notes
210376,@AmazonHelp Remember when your customer service used to be good?,SUPPORT_ESCALATION,SUPPORT_ESCALATION,ESCALATE,"I'm sorry you've had trouble getting this resolved. Since previous support interactions have not resolved the issue, a support representative should review the case and provide the appropriate next step.",0.2710145067878859,2,2,2,
64096,"@AmazonHelp Hi Amazon, I signed up this week and placed an order. Now when I try sign in, it says my email isn't registered? Please help!",ACCOUNT_ACCESS_SECURITY,ACCOUNT_ACCESS_SECURITY,ESCALATE,"I'm sorry you're having trouble with your account. For security reasons, please use the official account recovery or security process. A support representative should review the case if access cannot be restored or you suspect unauthorized activity.",0.2144435515554179,4,4,4,
334111,@115850 @118919 Guys it's my humble request to all please don't go with prime membership of Amazon it's waste of money. Worst expc,PRIME_MEMBERSHIP,PRIME_MEMBERSHIP,AUTO-HANDLE,"Sorry about the trouble with your Prime service. Please check your Prime membership and the benefit associated with the order. If the expected Prime benefit was not applied, support can review the membership and order details.",0.2188594896355803,4,4,4,
229838,"@115850 Surprised... Without my consent,  no information,  package returned. Even customer care dnt have any clue.  What's this???",ORDER_MANAGEMENT,DELIVERY_PROOF_FAILURE,AUTO-HANDLE,"Sorry about the delivery issue. Please check the delivery details and carrier information first. If the package or item still cannot be located, support can investigate further.",0.2945903094455782,4,4,4,
69662,@115850 hey I need help regarding my order.,CONTEXT_NEEDED,ORDER_MANAGEMENT,ESCALATE,Sorry about the order issue. Please check the current order details and available order-management options. A support representative should review the order and help with the appropriate next step.,0.3460415973635376,4,4,4,
52946,"@115821 please update your app, these dialogs are OLD. https://t.co/PSM3eXuVIf",DIGITAL_TECHNICAL,DIGITAL_TECHNICAL,AUTO-HANDLE,"Sorry you're having trouble with the digital service. Please check the device or application settings and try the relevant troubleshooting steps. If the problem continues, support can investigate further.",0.3415148078266374,4,3,3,
191806,Delivery date changed to 19th October!  What is going on @115821!? #justiceforLB https://t.co/lGcEvFubIY,DELIVERY_DELAY,DELIVERY_DELAY,AUTO-HANDLE,"Sorry that your delivery is taking longer than expected. Please check the latest tracking information for the order. If the promised delivery date has passed, support can review the delivery status and available options.",0.4338773963965485,4,4,4,
321705,"@115821 @115817 I know I can't blame you for the rain making the shipping box fall apart, but my @192637 got all smashed up. ð https://t.co/zEjtkbXrPA",PRODUCT_SELLER_ISSUE,PRODUCT_SELLER_ISSUE,ESCALATE,Sorry about the problem with the product or seller. Please check the order and product details. A support representative should review the case and help with the appropriate resolution.,0.1922708135231109,5,5,4,
232847,"Contacted close to 15 agents but no resolved issue,40k blocked been 2 months no refund no support @AmazonHelp @115850 @115851",CONTEXT_NEEDED,SUPPORT_ESCALATION,ESCALATE,"I'm sorry you've had trouble getting this resolved. Since previous support interactions have not resolved the issue, a support representative should review the case and provide the appropriate next step.",0.2361839880845719,4,4,4,
222693,"@115850 
#flipcart is better than you. U need to work on customer care front, morons are sitting at customer care, lack of efficiency",SUPPORT_ESCALATION,SUPPORT_ESCALATION,ESCALATE,"I'm sorry you've had trouble getting this resolved. Since previous support interactions have not resolved the issue, a support representative should review the case and provide the appropriate next step.",0.2826359810165209,4,3,3,
285629,I love how I pay for Prime and my package that I really needed in 2 days is going to take over a week to get to me @AmazonHelp ðð¼ðð¼ðð¼,DELIVERY_DELAY,PRIME_MEMBERSHIP,ESCALATE,Sorry about the trouble with your Prime membership or benefits. Please check your membership details. A support representative should review the case and help with the appropriate next step.,0.1888415017286918,1,1,1,
136873,@115830 5 failed deliveries for a simple order. Have called call centre 5 times with instructions but these do not get passed on. Please get someone from UK call centre to ring me today if not will cancel my account.,SUPPORT_ESCALATION,SUPPORT_ESCALATION,ESCALATE,"I'm sorry you've had trouble getting this resolved. Since previous support interactions have not resolved the issue, a support representative should review the case and provide the appropriate next step.",0.2458606124836866,4,4,4,
320871,"@115821 the mantra used to be based around 2-Day Shipping, but I have yet another âdelayed deliveryâ.",DELIVERY_DELAY,DELIVERY_DELAY,AUTO-HANDLE,"Sorry that your delivery is taking longer than expected. Please check the latest tracking information for the order. If the promised delivery date has passed, support can review the delivery status and available options.",0.3127048652401601,4,4,4,
246435,"@AmazonHelp 1970s delivery service from amazon! 
*Canât give time of delivery.
*Cant change to a new delivery address. 
Utter crap!",ORDER_MANAGEMENT,ORDER_MANAGEMENT,ESCALATE,Sorry about the order issue. Please check the current order details and available order-management options. A support representative should review the order and help with the appropriate next step.,0.1891320889469313,4,4,4,
206839,"What's happened the Garmin Vivoactive 3 in the UK? Had it pre-ordered at @115830 for delivery tomorrow, and now suddenly showing as 25th??",DELIVERY_DELAY,ORDER_MANAGEMENT,ESCALATE,Sorry about the order issue. Please check the current order details and available order-management options. A support representative should review the order and help with the appropriate next step.,0.1863529494448175,4,4,4,
200020,@AmazonHelp I havenât receive my early access code for Battlefront and I called and basically said they canât help me? I ordered in April,SUPPORT_ESCALATION,PAYMENT_BILLING_GIFTCARD,AUTO-HANDLE,"Sorry about the payment issue. Please check the payment method and transaction details associated with the order. If the charge still looks incorrect, support can review the transaction.",0.3355890919459851,4,4,4,
234134,"Picked up an @115830 delivery with an item missing in the box. This is... new. 

I don't even know how to notify them of that.",DELIVERY_PROOF_FAILURE,PRODUCT_SELLER_ISSUE,ESCALATE,I'm sorry that an item is missing from your delivery. Please check the order and package details. A support representative should review the order and help resolve the missing-item issue.,0.1711735067678354,4,4,4,
215212,amazon keeps messing up my her order i got one email saying it was cancelled but when i go on the website it says its gonna be shipped i,ORDER_MANAGEMENT,ORDER_MANAGEMENT,ESCALATE,Sorry about the order issue. Please check the current order details and available order-management options. A support representative should review the order and help with the appropriate next step.,0.1738823171204755,4,4,4,
286329,"@115850 @115821 
Didn't get any resolution from you guys.
U keep deducting money for the same thing. @115850 and @115821 please help.",SUPPORT_ESCALATION,SUPPORT_ESCALATION,ESCALATE,"I'm sorry you've had trouble getting this resolved. Since previous support interactions have not resolved the issue, a support representative should review the case and provide the appropriate next step.",0.2274700980704996,2,2,2,
294347,@145529 tracking number 962119647 . Been following up since past one week . No one called and no delivery . @115850 order .,DELIVERY_DELAY,DELIVERY_DELAY,AUTO-HANDLE,"Sorry that your delivery is taking longer than expected. Please check the latest tracking information for the order. If the promised delivery date has passed, support can review the delivery status and available options.",0.2539635410072435,4,4,4,
